"Species"	"DegSep"	"PatristicDist"
"Erigeron_bonariensis"	0	0
"Erigeron_sumatrensis"	0	0.0261554662
"Erigeron_bilbaoanus"	1	0.0291839171
"Erigeron_canadensis"	1	0.0330094685
"Erigeron_primulifolius"	3	0.0375416203
"Erigeron_conyzoides"	2	0.0404355252
"Erigeron_karvinskianus"	2	0.0408096887
"Olearia_imbricata"	7	0.0543981619
"Calotis_squamigera"	7	0.0550798003
"Pappochroma_setosus"	7	0.055539616
"Olearia_laciniifolia"	7	0.0559845454
"Baccharis_pingraea"	5	0.056213349
"Iotasperma_sessilifolium"	7	0.0564643098
"Baccharis_halimifolia"	5	0.056712457
"Tetramolopium_sp_Mt_Bowen"	7	0.0576629497
"Dichromochlamys_dentatifolia"	7	0.0583777542
"Pappochroma_paludicola"	7	0.0588578946
"Lagenophora_stipitata"	7	0.0590056106
"Olearia_elaeophila"	7	0.0590869241
"Solidago_canadensis"	4	0.059259092
"Olearia_ramulosa"	7	0.0592982767
"Olearia_muricata"	7	0.0593150977
"Pappochroma_nitidus"	7	0.0593572211
"Olearia_phlogopappa"	7	0.059557795
"Olearia_lirata"	7	0.0595766629
"Achnophora_tatei"	7	0.0596218993
"Pappochroma_tasmanicum"	7	0.0596471428
"Erodiophyllum_acanthocephalum"	7	0.0596625799
"Olearia_iodochroa"	7	0.0597435283
"Olearia_canescens"	7	0.0599335928
"Solidago_chilensis"	4	0.0600133189
"Lagenophora_huegelii"	7	0.0600428778
"Camptacra_barbata"	7	0.0603630695
"Pilbara_trudgenii"	7	0.0603928479
"Olearia_astroloba"	7	0.0604746047
"Vittadinia_muelleri"	7	0.0606977019
"Olearia_rudis"	7	0.0608803674
"Olearia_ericoides"	7	0.0608955085
"Solidago_sempervirens"	4	0.0609066408
"Solidago_altissima"	4	0.0609624879
"Pappochroma_bellidioides"	7	0.0609645218
"Olearia_algida"	7	0.0609822707
"Calotis_pubescens"	7	0.0610435885
"Calotis_cuneifolia"	7	0.0612126155
"Calotis_plumulifera"	7	0.0612459595
"Lagenophora_gracilis"	7	0.0612656568
"Ixiochlamys_nana"	7	0.0612743231
"Olearia_picridifolia"	7	0.0613071164
"Olearia_muelleri"	7	0.0613911778
"Calotis_lappulacea"	7	0.0614782623
"Pappochroma_gunnii"	7	0.0614913134
"Vittadinia_tenuissima"	7	0.0614996369
"Olearia_gordonii"	7	0.0615323942
"Olearia_eremaea"	7	0.0615434025
"Callistephus_chinensis"	7	0.0615576264
"Lagenophora_montana"	7	0.0615746152
"Olearia_dampieri"	7	0.0616293021
"Olearia_arida"	7	0.0617295747
"Olearia_frostii"	7	0.0617338296
"Olearia_stellulata"	7	0.0617574087
"Olearia_lanuginosa"	7	0.0618187476
"Olearia_brachyphylla"	7	0.0618602805
"Ceratogyne_obionoides"	7	0.0619580419
"Solenogyne_gunnii"	7	0.0620781502
"Vittadinia_eremaea"	7	0.062117488
"Olearia_heterocarpa"	7	0.062267172
"Olearia_cordata"	7	0.0624459343
"Olearia_burgessii"	7	0.0625578472
"Vittadinia_humerata"	7	0.06257778
"Calotis_erinacea"	7	0.0626284016
"Olearia_humilis"	7	0.0626831154
"Calotis_inermis"	7	0.0627982314
"Olearia_lepidophylla"	7	0.0628116299
"Ixiochlamys_cuneifolia"	7	0.0629835669
"Olearia_heloderma"	7	0.0629884375
"Olearia_decurrens"	7	0.0630876076
"Calotis_porphyroglossa"	7	0.0631434447
"Calotis_hispidula"	7	0.0631676916
"Olearia_exiguifolia"	7	0.0632014684
"Olearia_microdisca"	7	0.0632349136
"Olearia_adenolasia"	7	0.0632539168
"Olearia_revoluta"	7	0.063265146
"Olearia_lasiophylla"	7	0.0632987514
"Olearia_ramosissima"	7	0.0633501166
"Olearia_stuartii"	7	0.0634106737
"Dimorphocoma_minutula"	7	0.063580223
"Olearia_suffruticosa"	7	0.0635966588
"Olearia_adenophora"	7	0.063673462
"Vittadinia_gracilis"	7	0.0637866016
"Olearia_asterotricha"	7	0.0638010384
"Olearia_calcarea"	7	0.0638715042
"Vittadinia_sulcata"	7	0.0639150351
"Symphyotrichum_novi-belgii"	4	0.0641151522
"Olearia_glandulosa"	7	0.0641304475
"Vittadinia_sericea"	7	0.0641346441
"Vittadinia_obovata"	7	0.0641518468
"Calotis_glandulosa"	7	0.0641647766
"Heterotheca_grandiflora"	4	0.0642155453
"Vittadinia_scabra"	7	0.0642202133
"Vittadinia_nullarborensis"	7	0.0642270339
"Olearia_tenuifolia"	7	0.0642515248
"Calotis_spec"	7	0.0643718899
"Olearia_ballii"	7	0.0643861881
"Olearia_passerinoides"	7	0.064398564
"Vittadinia_bicolor"	7	0.0644208937
"Vittadinia_cuneata"	7	0.0645437516
"Olearia_rotundifolia"	7	0.0645678906
"Olearia_sp_Mt_Edward"	7	0.0646576534
"Olearia_sp_Waterhouse_Range"	7	0.0647167706
"Olearia_incana"	7	0.0647629923
"Olearia_subspicata"	7	0.0647790359
"Vittadinia_blackii"	7	0.0648817287
"Olearia_magniflora"	7	0.0649962081
"Calotis_cuneata"	7	0.0650201497
"Calotis_breviradiata"	7	0.0650778197
"Olearia_montana"	7	0.0651623227
"Calotis_cymbacantha"	7	0.0651631557
"Olearia_stenophylla"	7	0.0651937647
"Calotis_moorei"	7	0.0652256297
"Calotis_breviseta"	7	0.0652447297
"Olearia_hygrophila"	7	0.0652708571
"Vittadinia_pterochaeta"	7	0.0653443902
"Vittadinia_dissecta"	7	0.0653483489
"Olearia_brevipedunculata"	7	0.065376585
"Solenogyne_dominii"	7	0.0655776067
"Olearia_hookeri"	7	0.0655927178
"Olearia_homolepis"	7	0.065647115
"Calotis_anthemoides"	7	0.0656992141
"Calotis_latiuscula"	7	0.0657038538
"Olearia_paucidentata"	7	0.065954018
"Ixiochlamys_filicifolia"	7	0.0659836139
"Vittadinia_australasica"	7	0.0660362822
"Vittadinia_constricta"	7	0.0660452523
"Olearia_tubuliflora"	7	0.0660837571
"Calotis_scabiosifolia"	7	0.0661288511
"Calotis_multicaulis"	7	0.0661511057
"Olearia_axillaris"	7	0.0661861135
"Olearia_quercifolia"	7	0.0662368403
"Calotis_dentex"	7	0.0662432496
"Olearia_minor"	7	0.0663110403
"Olearia_nernstii"	7	0.0664234196
"Calotis_scapigera"	7	0.0664830826
"Vittadinia_burbidgeae"	7	0.0664914756
"Vittadinia_cervicularis"	7	0.0665685748
"Vittadinia_hispidula"	7	0.0667640402
"Olearia_plucheacea"	7	0.0668256552
"Olearia_cassiniae"	7	0.0671698471
"Olearia_ciliata"	7	0.0672107428
"Olearia_tomentosa"	7	0.067282699
"Vittadinia_pustulata"	7	0.067321338
"Olearia_propinqua"	7	0.0674967284
"Isoetopsis_graminifolia"	7	0.0676389026
"Olearia_gravis"	7	0.0677838592
"Solenogyne_bellioides"	7	0.0678598256
"Minuria_multiseta"	7	0.0679361539
"Olearia_pimeleoides"	7	0.0679892163
"Kippistia_suaedifolia"	7	0.0680245797
"Calotis_xanthosioidea"	7	0.068094517
"Olearia_microphylla"	7	0.0684939129
"Olearia_rugosa"	7	0.0685557311
"Olearia_floribunda"	7	0.0688581495
"Calotis_ancyrocarpa"	7	0.0689911113
"Vittadinia_condyloides"	7	0.0690272036
"Olearia_ferresii"	7	0.0704174946
"Calotis_suffruticosa"	7	0.0704826545
"Minuria_cunninghamii"	7	0.0705772588
"Elachanthus_pusillus"	7	0.0706080354
"Minuria_tridens"	7	0.0710899198
"Olearia_glutinosa"	7	0.0715413309
"Minuria_rigida"	7	0.0716782775
"Vittadinia_megacephala"	7	0.0717701638
"Minuria_gardneri"	7	0.0719858457
"Minuria_leptophylla"	7	0.0725579325
"Pembertonia_latisquamea"	7	0.0744824319
"Allittia_cardiocarpa"	7	0.074989886
"Brachyscome_tesquorum"	7	0.0783671639
"Brachyscome_procumbens"	7	0.0791969167
"Brachyscome_obovata"	7	0.0802079039
"Brachyscome_petrophila"	7	0.0811155714
"Brachyscome_barkerae"	7	0.0812040232
"Brachyscome_graminea"	7	0.0813418411
"Brachyscome_dichromosomatica"	7	0.0814911564
"Brachyscome_basaltica"	7	0.0814979489
"Brachyscome_linearifolia"	7	0.0817174815
"Brachyscome_tamworthensis"	7	0.0820061054
"Brachyscome_wingello"	7	0.082167767
"Brachyscome_papillosa"	7	0.0824993179
"Brachyscome_tetrapterocarpa"	7	0.0831951437
"Brachyscome_melanocarpa"	7	0.0835013585
"Brachyscome_scapigera"	7	0.0837817302
"Brachyscome_spathulata"	7	0.0838394273
"Brachyscome_stolonifera"	7	0.0839216521
"Brachyscome_nova-anglica"	7	0.0843874456
"Brachyscome_willisii"	7	0.0845908268
"Brachyscome_paludicola"	7	0.0846876708
"Brachyscome_sinclairii"	7	0.0848742878
"Brachyscome_ptychocarpa"	7	0.0849859547
"Brachyscome_ascendens"	7	0.0852916397
"Brachyscome_chrysoglossa"	7	0.0855822005
"Brachyscome_nodosa"	7	0.0856968993
"Brachyscome_diversifolia"	7	0.0857455665
"Brachyscome_salkiniae"	7	0.0858459006
"Brachyscome_rara"	7	0.0858727095
"Brachyscome_dissectifolia"	7	0.0859569499
"Brachyscome_segmentosa"	7	0.0859746414
"Brachyscome_breviscapis"	7	0.0859940262
"Brachyscome_aculeata"	7	0.0860448621
"Brachyscome_microcarpa"	7	0.0862574889
"Brachyscome_smithwhitei"	7	0.0862757562
"Brachyscome_multifida"	7	0.0863624932
"Brachyscome_decipiens"	7	0.086480987
"Brachyscome_curvicarpa"	7	0.0865544215
"Brachyscome_dentata"	7	0.0865845437
"Chondropyxis_halophila"	8	0.0871172013
"Brachyscome_trachycarpa"	7	0.0873506265
"Brachyscome_radicans"	7	0.0875451776
"Brachyscome_sieberi"	7	0.088003027
"Brachyscome_stuartii"	7	0.0880690419
"Brachyscome_kaputarensis"	7	0.0883164053
"Brachyscome_perpusilla"	7	0.0888727999
"Brachyscome_readeri"	7	0.0888807021
"Brachyscome_tadgellii"	7	0.0897006012
"Bellis_perennis"	6	0.089894875
"Brachyscome_cuneifolia"	7	0.0899630218
"Brachyscome_rigidula"	7	0.090638415
"Brachyscome_dalbyensis"	7	0.0913451788
"Brachyscome_casstiana"	7	0.0916356048
"Brachyscome_eriogona"	7	0.0925591807
"Brachyscome_ciliaris"	7	0.0926969479
"Brachyscome_debilis"	7	0.0928507923
"Brachyscome_tatei"	7	0.0931239755
"Brachyscome_iberidifolia"	7	0.0942350971
"Celmisia_asteliifolia"	9	0.094482635
"Brachyscome_exilis"	7	0.0945724852
"Celmisia_lyallii"	9	0.0948328958
"Brachyscome_parvula"	7	0.0951244779
